config,seed,clean_final,gap_final,clean@doe_end,clean@mid,trials_to_95pct,secs,_ttg
A: baseline (plain GP),42,0.606374597547393,0.00012540245260705962,0.5075260754860572,0.6064179028531301,7.0,4.28659987449646,7.0
A: baseline (plain GP),43,0.6039260067124341,0.002573993287565912,0.5663419037277398,0.6039260067124341,7.0,3.1625239849090576,7.0
A: baseline (plain GP),44,0.6059913262236359,0.0005086737763640992,0.490520292401848,0.6059913262236359,8.0,3.2854509353637695,8.0
A: baseline (plain GP),45,0.6056957008053041,0.0008042991946959344,0.48989068524803253,0.6018068313664274,8.0,2.9242100715637207,8.0
A: baseline (plain GP),46,0.6063225781021493,0.00017742189785074913,0.48320003916499693,0.6009623227414117,7.0,3.1113858222961426,7.0
②: random_augment only,42,0.6045995555625906,0.0019004444374094431,0.5075260754860572,0.5873592828924309,11.0,3.8931000232696533,11.0
②: random_augment only,43,0.6048872027588001,0.0016127972411998925,0.5663419037277398,0.6048872027588001,10.0,2.993985891342163,10.0
②: random_augment only,44,0.6043763806932454,0.0021236193067546427,0.490520292401848,0.6043763806932454,10.0,4.161463975906372,10.0
②: random_augment only,45,0.6012014457394816,0.0052985542605183955,0.48989068524803253,0.5449332166080378,18.0,3.339684247970581,18.0
②: random_augment only,46,0.6044269050560965,0.0020730949439035085,0.48320003916499693,0.6024074184561871,13.0,3.19698166847229,13.0
③: gp_prior only,42,0.6055530492094001,0.0009469507905999208,0.5075260754860572,0.6055530492094001,7.0,2.655055284500122,7.0
③: gp_prior only,43,0.6063389555210922,0.0001610444789078569,0.5663419037277398,0.6060404388792687,7.0,2.2859411239624023,7.0
③: gp_prior only,44,0.6064794973016934,2.0502698306668066e-05,0.490520292401848,0.6044452507160053,8.0,2.5824811458587646,8.0
③: gp_prior only,45,0.6064767977910428,2.3202208957240344e-05,0.48989068524803253,0.6065306582418303,9.0,2.537586212158203,9.0
③: gp_prior only,46,0.597416809100283,0.009083190899716986,0.48320003916499693,0.6053042897857007,8.0,2.365724802017212,8.0
①: full domain knowledge,42,0.6062072183372608,0.0002927816627392721,0.5075260754860572,0.6062072183372608,10.0,5.9277191162109375,10.0
①: full domain knowledge,43,0.6060994454095516,0.0004005545904484098,0.5663419037277398,0.5955133991224981,8.0,4.551918029785156,8.0
①: full domain knowledge,44,0.6065297726433387,-2.9772643338699112e-05,0.490520292401848,0.6065297726433387,9.0,8.099767208099365,9.0
①: full domain knowledge,45,0.6046713709337572,0.001828629066242815,0.48989068524803253,0.6048697208839002,10.0,6.4723780155181885,10.0
①: full domain knowledge,46,0.606527303887988,-2.730388798799499e-05,0.48320003916499693,0.6050459164043481,7.0,5.71383810043335,7.0
④: Arrhenius mean only,42,0.6064951788878215,4.8211121785879385e-06,0.5075260754860572,0.6058410617780451,7.0,3.469320058822632,7.0
④: Arrhenius mean only,43,0.60497627114513,0.0015237288548700656,0.5663419037277398,0.6049865767040457,7.0,3.182868003845215,7.0
④: Arrhenius mean only,44,0.6065147534984335,-1.475349843349516e-05,0.490520292401848,0.6065147534984335,7.0,3.4040310382843018,7.0
④: Arrhenius mean only,45,0.6057764887475321,0.0007235112524679455,0.48989068524803253,0.6057764887475321,8.0,3.6276090145111084,8.0
④: Arrhenius mean only,46,0.6014251944658138,0.005074805534186266,0.48320003916499693,0.6060556475277452,7.0,2.7020678520202637,7.0
⑤: mono + gp_prior (rescued),42,0.6052371198239058,0.0012628801760942165,0.5075260754860572,0.592173324639583,11.0,3.121528148651123,11.0
⑤: mono + gp_prior (rescued),43,0.5990637996563075,0.007436200343692523,0.5663419037277398,0.5990637996563075,11.0,2.837019205093384,11.0
⑤: mono + gp_prior (rescued),44,0.6057688711678717,0.000731128832128336,0.490520292401848,0.6057688711678717,10.0,3.0858490467071533,10.0
⑤: mono + gp_prior (rescued),45,0.6023265082459958,0.004173491754004277,0.48989068524803253,0.5993238005680778,10.0,3.1165692806243896,10.0
⑤: mono + gp_prior (rescued),46,0.6059815785212045,0.0005184214787955499,0.48320003916499693,0.5987518285834855,10.0,2.9796769618988037,10.0
G: WRONG-direction monotone,42,0.6052709477652841,0.0012290522347159216,0.5075260754860572,0.546754497888701,19.0,3.572125196456909,19.0
G: WRONG-direction monotone,43,0.6064387649330135,6.123506698652026e-05,0.5663419037277398,0.6060014815589241,8.0,2.9837570190429688,8.0
G: WRONG-direction monotone,44,0.6042168190233813,0.002283180976618726,0.490520292401848,0.6007888644720047,10.0,2.930208921432495,10.0
G: WRONG-direction monotone,45,0.6017581563120596,0.004741843687940395,0.48989068524803253,0.6065203139784953,10.0,3.5695717334747314,10.0
G: WRONG-direction monotone,46,0.5352345780414122,0.07126542195858787,0.48320003916499693,0.5212900296287813,,3.211881160736084,22.0
